x,y
tensor(590.51105),tensor(450.09515)
tensor(588.32855),tensor(450.13977)
tensor(584.27911),tensor(450.02908)
tensor(580.90094),tensor(449.67770)
tensor(577.75037),tensor(449.29474)
tensor(578.89349),tensor(448.82196)
tensor(578.69684),tensor(448.81253)
tensor(574.69739),tensor(449.47455)
tensor(574.56104),tensor(449.87750)
tensor(572.49719),tensor(448.02914)
tensor(570.65112),tensor(447.36966)
tensor(569.98230),tensor(446.88205)
tensor(567.25836),tensor(447.77789)
tensor(565.06970),tensor(450.02695)
tensor(563.20367),tensor(451.26843)
tensor(561.77930),tensor(453.04614)
tensor(561.03790),tensor(453.28979)
tensor(560.24792),tensor(452.59094)
tensor(560.26392),tensor(451.85138)
tensor(561.36536),tensor(451.94867)
tensor(562.29114),tensor(450.88800)
tensor(562.79333),tensor(451.12943)
tensor(561.94952),tensor(451.40533)
tensor(561.40234),tensor(451.79456)
tensor(560.90778),tensor(451.93942)
tensor(560.15546),tensor(452.09875)
tensor(558.51160),tensor(452.62204)
tensor(558.82916),tensor(452.60980)
tensor(558.12323),tensor(452.12384)
tensor(559.73138),tensor(452.73193)
tensor(561.93890),tensor(452.73166)
tensor(562.91943),tensor(453.97391)
tensor(563.57886),tensor(454.89511)
tensor(565.81256),tensor(455.25281)
tensor(565.82257),tensor(455.05493)
tensor(566.93396),tensor(454.76434)
tensor(565.19312),tensor(453.24423)
tensor(567.81012),tensor(453.02100)
tensor(569.81335),tensor(452.59448)
tensor(566.51508),tensor(452.33749)
tensor(565.82874),tensor(452.43970)
tensor(562.46033),tensor(452.46680)
tensor(562.93921),tensor(452.11453)
tensor(566.90924),tensor(451.89014)
tensor(571.54187),tensor(450.84650)
tensor(569.22357),tensor(450.33368)
tensor(567.48950),tensor(450.21075)
tensor(572.35425),tensor(449.39041)
tensor(568.69714),tensor(449.22754)
tensor(570.11340),tensor(448.31403)
tensor(561.52588),tensor(449.78625)
tensor(554.81799),tensor(449.00278)
tensor(551.86780),tensor(448.92462)
tensor(550.70996),tensor(449.13074)
tensor(549.78284),tensor(449.19955)
tensor(548.83759),tensor(448.78159)
tensor(548.32739),tensor(448.39575)
tensor(548.15033),tensor(448.29779)
tensor(548.22058),tensor(448.13898)
tensor(548.21887),tensor(447.79663)
tensor(547.75568),tensor(448.40088)
tensor(547.90155),tensor(448.86804)
tensor(547.93134),tensor(448.96899)
tensor(548.42273),tensor(449.07861)
tensor(548.48877),tensor(448.81778)
tensor(548.85742),tensor(448.79996)
tensor(549.04608),tensor(448.94119)
